Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.98661,0,0,0,0,0.231189,-0.113135,0.0202588,-0.00129962,0,0,0,0,0.0602176,-0.0359307,0.00719506,-0.000494438,0.2,0,0,0,-0.0310982,0.0187008,-0.0037744,0.000260924,0,0,0,0,0,0,0,0
2.59282,5,1.5886,-0.361003,-0.111743,0.314482,-0.283377,0.0944354,-0.0107175,0,-0.53987,-0.217949,-0.0038818,0.119817,-0.0880715,0.0270717,-0.00303042,0.2,0.264555,0.100303,8.73382e-05,-0.0112062,-0.0127697,0.00732722,-0.000996698,0,0,0,0,0,0,0,0
2.58634,6,-1.04369,-0.293929,0.0676968,0.0407523,-0.00546297,-0.00482723,0.0009661,-2,-0.707494,0.12848,-0.0379799,0.0737713,0.0124923,-0.0185263,0.00313385,1,0.151416,-0.0622965,0.0031825,-0.0591233,0.0267506,-0.00320714,-2.62318e-05,0,0,0,0,0,0,0,0
2.10058,3,-0.935345,0.0297482,-0.0334178,0.0867443,-0.0739379,0.0218754,-0.00222235,-2,0.796919,0.137455,0.0583974,-0.375932,0.250373,-0.0717667,0.00788675,0.5,-0.495487,0.00116254,0.0301404,0.139779,-0.100395,0.0269391,-0.00262399,0,0,0,0,0,0,0,0
3.95569,1,-1.20296,-0.257467,-0.0262983,-0.00499769,0.032826,-0.00916692,0.000723593,-1,-0.284543,-0.42647,0.0179063,0.0834311,-0.0349038,0.0066751,-0.000495247,0.2,0.349883,0.20022,-0.0195321,-0.0633324,0.032556,-0.006648,0.00049073,0,0,0,0,0,0,0,0
3.64359,-3,0.609602,0.329667,-0.1161,0.222844,-0.152941,0.0371207,-0.00303785,-3,0.616872,0.457147,-0.104274,0.11083,-0.0930303,0.0248854,-0.00214561,1.5,-0.279642,-0.26135,0.0481106,0.00150589,0.0123339,-0.00495097,0.000499665,0,0,0,0,0,0,0,0
