Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.76965,8,0,0,0,-0.0804838,0.0341696,-0.00523941,0.000284811,2,0,0,0,-0.025039,0.0110399,-0.00178357,0.000101612,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.79163,5,-0.638598,0.180709,0.0267004,-0.0111056,0.00224503,-0.000268464,1.22605e-05,1,-0.341372,-0.0173005,0.00381662,-0.0108561,0.00375923,-0.000461082,1.94258e-05,0.4,-6.78917e-18,-1.16193e-18,1.74578e-18,-8.67362e-19,0,0,-1.69407e-21,0,0,0,0,0,0,0,0
12.8728,8,0.624102,-0.163213,-0.00850167,0.00354953,-0.000364386,1.79582e-05,-3.45415e-07,-2,-0.291576,0.0122013,0.000583915,3.0223e-05,4.15149e-06,-6.24192e-07,1.75644e-08,0.4,-2.71262e-17,-8.0978e-18,3.59695e-20,1.0842e-19,0,-8.47033e-22,2.64698e-23,0,0,0,0,0,0,0,0
4.10558,1,-0.461931,0.0975351,0.0046223,0.00607889,-0.00318579,0.000511661,-2.68934e-05,-2,0.376326,0.02664,-0.000729383,0.127406,-0.074038,0.0149519,-0.00103674,0.4,1.12775e-16,-8.32913e-19,-2.59418e-18,-1.38778e-17,3.46945e-18,-8.67362e-19,0,0,0,0,0,0,0,0,0
8.40034,1,0.40916,0.0864029,0.00819859,-0.00136049,-0.00039746,6.38129e-05,-2.51265e-06,1,0.538847,-0.00779074,-0.00329786,-0.000760562,-0.000150913,3.74373e-05,-1.71995e-06,0.4,-1.43468e-16,-2.41307e-17,1.0688e-17,-3.03577e-18,6.50521e-19,-6.77626e-20,2.5411e-21,0,0,0,0,0,0,0,0
4.01422,7,0.310056,-0.0798597,0.00063633,0.00116372,-0.000452112,4.38739e-05,-7.99767e-07,1,-0.685513,-0.0220363,0.00873435,-0.123033,0.0773066,-0.0164502,0.00118716,0.4,2.20224e-16,-1.96892e-17,-7.47236e-18,-2.77556e-17,2.08167e-17,-3.46945e-18,2.1684e-19,0,0,0,0,0,0,0,0
6.58614,7,-0.335245,-0.098754,-0.00403978,0.00736105,-0.00158587,0.000153561,-5.73958e-06,-1.8,-0.0152914,0.107509,-0.002217,0.0164022,-0.00703118,0.000934065,-4.11034e-05,0.4,-1.19409e-16,-1.18127e-17,6.66534e-18,-5.20417e-18,1.73472e-18,-3.25261e-19,1.18585e-20,0,0,0,0,0,0,0,0
2.98135,3,-0.530891,0.0469937,0.00140798,0.0207495,-0.0127956,0.00275912,-0.000207868,0,-0.324394,-0.0885693,0.0101132,-0.200243,0.154872,-0.0410164,0.00374039,0.4,2.13168e-16,-3.66034e-17,-1.93991e-17,-5.55112e-17,2.77556e-17,-1.38778e-17,8.67362e-19,0,0,0,0,0,0,0,0
4.44866,2,-0.190782,0.0169428,-0.000955866,-0.00387975,0.00339179,-0.000686829,4.44029e-05,-1.8,-0.210234,0.257184,-0.00773979,0.0227948,-0.0124539,0.00215343,-0.000127411,0.4,-8.66493e-17,1.2817e-17,9.90566e-18,0,0,0,0,0,0,0,0,0,0,0,0
5.81265,2,0.408055,0.11926,0.00055934,-0.00115343,-0.000795066,0.000144178,-6.6003e-06,1.2,0.856723,-0.114548,-0.0215754,0.00323628,-0.000227504,4.7072e-05,-3.89278e-06,0.4,2.77262e-17,-5.58519e-18,1.3169e-18,-3.46945e-18,8.67362e-19,-1.0842e-19,6.77626e-21,0,0,0,0,0,0,0,0
3.08824,6,0.36517,-0.11716,0.0077092,0.0183063,-0.0194385,0.00592143,-0.000589403,1.2,-0.594995,-0.0179222,0.00616074,-0.0712269,0.0503636,-0.0127423,0.00112439,0.4,-2.07213e-17,-9.87511e-18,3.65272e-19,0,0,-6.93889e-18,0,0,0,0,0,0,0,0,0
4.26767,6,-0.420723,-0.121223,-0.00833461,-0.0550684,0.0383182,-0.00809155,0.000564647,-1,-0.664069,0.044406,0.00310276,0.104437,-0.0550736,0.010352,-0.000676264,0.4,6.76484e-17,1.91048e-17,-2.95814e-18,-1.38778e-17,3.46945e-18,-8.67362e-19,5.42101e-20,0,0,0,0,0,0,0,0
2.79763,3,-0.328116,0.0628347,0.00737399,-0.02352,0.0340139,-0.0127084,0.0014682,-1,0.340569,0.0938918,-0.00342662,0.358842,-0.311169,0.0924301,-0.009381,0.4,-1.205e-16,9.66009e-18,3.64992e-17,0,-2.77556e-17,6.93889e-18,-8.67362e-19,0,0,0,0,0,0,0,0
2.93052,3,0.414601,0.0745767,-0.0111462,0.375922,-0.316363,0.0909894,-0.00891894,1,0.46541,-0.0484062,0.0223293,-0.0967365,0.0457742,-0.00830166,0.000532949,0.4,6.12196e-17,-5.78068e-18,2.38361e-18,-2.77556e-17,0,0,0,0,0,0,0,0,0,0,0
3.07739,5,0.196561,-0.0929543,0.00240692,-0.0428694,0.0371703,-0.010194,0.000937097,1,-0.504167,-0.0817594,0.016582,-0.312636,0.255872,-0.0707303,0.00663262,0.4,-4.58902e-17,-1.08975e-18,1.41201e-17,-2.77556e-17,1.38778e-17,0,4.33681e-19,0,0,0,0,0,0,0,0
2.59966,5,0.0540376,0.0436747,-0.0053851,0.0526808,-0.0659175,0.023523,-0.0027183,-1,0.0646537,0.166925,-0.00688107,0.442207,-0.40416,0.126335,-0.013559,0.4,6.67571e-17,6.84063e-18,-5.88073e-18,0,0,1.38778e-17,0,0,0,0,0,0,0,0,0
2.55623,5,-0.294643,-0.105514,0.00769558,-0.55028,0.535691,-0.176758,0.0198504,0.5,0.278248,-0.218924,-0.00595347,0.0634736,-0.0304917,0.0066353,-0.00058148,0.4,-7.82224e-17,8.46432e-18,2.69016e-17,0,5.55112e-17,-1.38778e-17,1.73472e-18,0,0,0,0,0,0,0,0
2.33785,3.5,-0.07102,0.14858,0.00102197,0.619948,-0.637675,0.225122,-0.027248,0.5,-0.0167971,0.0477433,-0.00171111,0.085003,-0.104909,0.0397616,-0.00498909,0.4,7.355e-17,8.25637e-18,1.13542e-18,5.55112e-17,-5.55112e-17,2.77556e-17,-3.46945e-18,0,0,0,0,0,0,0,0
2.20862,4.5,0.272456,-0.0814456,-0.0118676,-0.142254,0.141714,-0.0483794,0.0057582,0.5,-0.187392,-0.0820017,0.00427875,-0.773804,0.864262,-0.328986,0.0426979,0.4,-1.28125e-16,-3.93851e-18,3.58855e-17,0,0,2.77556e-17,0,0,0,0,0,0,0,0,0
2.00697,4.5,-0.1076,0.0314045,0.0153074,0.523583,-0.574681,0.225406,-0.0308549,-0.5,-0.0534682,0.11119,-0.00100064,0.638641,-0.755232,0.305526,-0.0424575,0.4,1.03772e-16,1.7918e-18,-3.02046e-18,0,0,0,0,0,0,0,0,0,0,0,0
4.42009,5,0.437875,0.0776231,-0.00672924,0.0900368,-0.0513095,0.00985187,-0.000641341,0,0.0345823,-0.191221,-0.00665227,0.0164892,0.00325196,-0.00167898,0.000148589,0.4,-1.2424e-16,-8.26564e-18,5.23668e-17,-2.08167e-17,3.46945e-18,-4.33681e-19,0,0,0,0,0,0,0,0,0
