Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
11.7667,8,0,0,0,-0.00495618,0.000787648,-4.35384e-05,8.61352e-07,2,0,0,0,0.000345132,-9.43608e-05,7.26324e-06,-1.7961e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.39671,2,0.276435,0.275571,0.0165678,-0.0211205,-0.00769955,0.00338638,-0.000321219,1,-0.302291,-0.0128428,0.00174786,0.0281597,-0.0194186,0.00462899,-0.000377851,1,-1.82874e-17,-1.28373e-19,2.18892e-18,0,2.77556e-17,-6.93889e-18,4.33681e-19,0,0,0,0,0,0,0,0
3.13943,4,0.0200801,-0.323465,-0.00108822,-0.0795891,0.0744994,-0.0199753,0.00176161,0,-0.343497,-0.000688078,0.0116553,-0.0630439,0.0550691,-0.0154322,0.00144043,1,5.62529e-17,1.47654e-17,-2.70072e-18,0,-5.55112e-17,1.38778e-17,0,0,0,0,0,0,0,0,0
2.50786,2,-0.453609,0.187118,-0.0301169,0.046951,-0.0261658,0.00593044,-0.000482674,-0.5,0.356986,0.158939,-0.00521848,0.02167,-0.0313299,0.0107033,-0.00116136,1,-9.14612e-17,-7.73438e-18,9.455e-18,0,0,-5.55112e-17,6.93889e-18,0,0,0,0,0,0,0,0
10.1195,2,0.393067,0.11845,-0.00223872,-0.00215135,0.000216366,-9.0145e-06,1.37365e-07,1,0.574628,-0.0728916,0.0102618,-0.0108543,0.00222734,-0.000170718,4.58316e-06,1,2.72622e-16,7.64947e-17,8.02323e-18,-1.34441e-17,2.49366e-18,-1.76183e-19,4.44692e-21,0,0,0,0,0,0,0,0
2.84819,8,-0.177328,-0.141057,-0.00416629,-0.0710235,0.0492555,-0.0118764,0.00100464,-1,-0.200416,0.0107924,-0.00426377,-0.0231398,0.023852,-0.00771305,0.000823076,1,-9.08479e-17,3.98656e-17,6.74973e-18,-1.11022e-16,1.11022e-16,0,3.46945e-18,0,0,0,0,0,0,0,0
6.87703,6,-1.04118,-0.0220633,0.0082511,0.00275347,-0.000620037,4.32405e-05,-9.28279e-07,-1.5,-0.131365,-0.0148616,-0.00141275,0.00923603,-0.00308994,0.000391995,-1.72233e-05,1,1.7749e-16,3.07941e-17,-1.13056e-17,-6.93889e-18,1.73472e-18,-2.1684e-19,1.01644e-20,0,0,0,0,0,0,0,0
4.62252,1,-0.222623,0.0637699,-0.00064271,-0.0225212,0.0117289,-0.00211491,0.000130638,-1.5,0.34757,0.115248,-0.00714773,0.0389437,-0.0206274,0.00357758,-0.000210922,1,-7.55021e-17,1.84638e-17,1.95109e-18,0,0,-8.67362e-19,5.42101e-20,0,0,0,0,0,0,0,0
4.73301,1,0.343508,0.0581499,-0.00114761,0.00194174,-0.000701804,0.000115567,-7.77103e-06,1.5,0.1505,-0.211944,0.00207848,-0.016145,0.0128452,-0.00254847,0.000160822,1,3.1497e-17,-1.88083e-18,-8.0511e-19,0,0,-8.67362e-19,5.42101e-20,0,0,0,0,0,0,0,0
6.82579,4,0.914845,0.0410594,-0.0130259,0.00578101,-0.00280692,0.000425865,-2.03448e-05,0,0.00429316,0.105066,-0.00550991,0.0126551,-0.00535132,0.000717098,-3.16918e-05,1,-6.77854e-18,2.43951e-18,4.77687e-19,0,0,0,0,0,0,0,0,0,0,0,0
