Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
12.0184,8,0,0,0,-0.00471916,0.0007785,-4.52907e-05,9.3155e-07,2,0,0,0,-0.00345065,0.000679263,-4.81153e-05,1.17809e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.82979,2,-0.0457692,0.15598,0.00539243,-0.00323501,0.000277261,-1.29242e-05,3.01503e-07,-2,-0.638094,-0.0530897,0.00500257,0.0101896,-0.00211978,0.000159226,-4.23822e-06,1,7.34795e-18,8.41574e-19,-4.48707e-20,0,0,0,0,0,0,0,0,0,0,0,0
9.67572,8,0.023672,-0.155971,-0.000889397,0.00292161,-0.000357894,2.29846e-05,-6.21865e-07,-2,0.439181,-0.00115397,-0.00285188,-0.00177828,0.000370409,-2.64092e-05,6.65749e-07,1,-9.47827e-18,-1.3573e-18,3.60587e-19,-8.67362e-19,2.1684e-19,-1.35525e-20,4.23516e-22,0,0,0,0,0,0,0,0
11.5347,2,-0.219155,0.131694,0.00276765,-0.00165917,0.000150202,-7.77766e-06,1.75883e-07,-1,-0.208718,-0.0139085,0.000876108,0.00106895,-0.000194218,1.3451e-05,-3.32484e-07,1,5.77891e-17,6.12268e-18,-3.18188e-19,-4.33681e-19,0,0,0,0,0,0,0,0,0,0,0
15.6732,9,0.40401,-0.102949,-0.00369374,0.000579559,-2.03832e-06,-9.45603e-07,2.217e-08,-2,0.189421,0.035101,-0.00134799,-0.000136062,-1.18162e-05,1.78439e-06,-4.93529e-08,1,-1.36731e-16,-1.11237e-17,8.06144e-19,1.0842e-19,-1.35525e-20,0,-1.32349e-23,0,0,0,0,0,0,0,0
2.79763,0,-0.30024,0.0835142,0.00164337,0.0207826,-0.0140691,0.00361259,-0.000330795,0,-0.35948,-0.0488252,-0.00573708,-0.174346,0.137157,-0.0380841,0.00368847,1,1.84277e-16,-1.56938e-17,-3.92747e-18,-3.33067e-16,1.66533e-16,-5.55112e-17,5.20417e-18,0,0,0,0,0,0,0,0
5.6999,0,0.321161,0.121642,0.00587597,0.00473688,-0.00357973,0.000548844,-2.63727e-05,-2,-0.809255,0.0282034,0.00828553,0.0172396,-0.00480035,0.000458735,-1.47612e-05,1,9.72148e-17,-9.38979e-18,2.46225e-17,-3.46945e-17,1.04083e-17,-1.30104e-18,6.77626e-20,0,0,0,0,0,0,0,0
2.88156,4,0.378429,-0.12582,0.00929838,0.0385106,-0.0432473,0.0143469,-0.00154259,-2,0.77142,0.0391123,-0.00456546,-0.00673118,-0.00416189,0.00230953,-0.000284697,1,8.05126e-17,-1.02844e-17,-7.97567e-19,-1.11022e-16,5.55112e-17,-1.38778e-17,1.73472e-18,0,0,0,0,0,0,0,0
4.61336,4,-0.417768,-0.0728648,0.00523338,-0.0444708,0.0226626,-0.00386811,0.000225758,0,0.416292,-0.130801,-0.00954806,-0.021351,0.0127397,-0.00234605,0.00014541,1,4.6836e-18,1.13616e-17,1.65231e-18,1.38778e-17,-6.93889e-18,0,-5.42101e-20,0,0,0,0,0,0,0,0
11.9001,1,-0.158575,0.197462,-0.00886742,9.04633e-05,-0.000123255,1.17453e-05,-2.92588e-07,-1,-0.534767,-0.0399408,0.00616719,0.00176825,-0.000274037,1.49041e-05,-3.1845e-07,1,-6.64813e-17,-6.23753e-18,3.62515e-18,-2.1684e-19,-5.42101e-20,3.38813e-21,0,0,0,0,0,0,0,0,0
2.11464,8,0.0261523,-0.052543,0.0113931,0.0406367,-0.03699,0.0123301,-0.00147588,-1,0.586478,-0.0480296,-0.0189238,0.653114,-0.793686,0.327575,-0.0456737,1,7.76282e-18,-4.23622e-18,7.12057e-19,0,0,0,0,0,0,0,0,0,0,0,0
